epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,102.489,0.25472,0.32376,0.66964,0.82483,0,0.97558,0.96805,0.97843,0.93979,0.97558,0.96805,0.97843,0.93823,0.21144,0.30772,0.38764,0.72851,0,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,106.698,0.24061,0.31095,0.6872,0.81978,0,0.98345,0.95647,0.98111,0.94064,0.98345,0.95647,0.98111,0.93315,0.21065,0.30785,0.37579,0.72881,0,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,110.928,0.24777,0.31662,0.66634,0.82258,0,0.98815,0.96099,0.98351,0.93981,0.98815,0.96099,0.98351,0.93454,0.21377,0.34918,0.36186,0.7271,0,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,115.067,0.24027,0.27622,0.658,0.82082,0,0.98593,0.96649,0.98536,0.94481,0.98593,0.96649,0.98536,0.9364,0.20766,0.33987,0.34572,0.72724,0,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,119.344,0.25612,0.31639,0.63184,0.82452,0,0.98558,0.96099,0.9852,0.95062,0.98558,0.96099,0.9852,0.93918,0.19594,0.30587,0.36145,0.72352,0,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,123.671,0.24471,0.30355,0.67014,0.82301,0,0.9777,0.96577,0.98584,0.94556,0.9777,0.96577,0.98584,0.93057,0.20489,0.3137,0.35919,0.72484,0,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,128.16,0.24707,0.31903,0.63359,0.81199,0,0.98476,0.94616,0.98652,0.94397,0.98476,0.94616,0.98652,0.93124,0.20913,0.30669,0.35716,0.72699,0,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,132.393,0.24441,0.30837,0.61913,0.81743,0,0.98524,0.95923,0.98731,0.94666,0.98524,0.95923,0.98731,0.93713,0.21679,0.29186,0.33002,0.72838,0,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,136.923,0.24886,0.30426,0.61575,0.8152,0,0.97563,0.96805,0.98551,0.94767,0.97563,0.96805,0.98551,0.9373,0.19767,0.2592,0.33088,0.72248,0,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,141.202,0.24319,0.30066,0.58563,0.82034,0,0.97719,0.96343,0.98738,0.94473,0.97719,0.96343,0.98738,0.94042,0.20003,0.2491,0.31363,0.72179,0,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,145.474,0.24051,0.31001,0.59782,0.81502,0,0.97265,0.96868,0.98868,0.95179,0.97265,0.96868,0.98868,0.94371,0.20305,0.26444,0.31498,0.72229,0,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,149.612,0.24105,0.3191,0.57546,0.81875,0,0.97692,0.96855,0.9897,0.95269,0.97692,0.96855,0.9897,0.94732,0.20756,0.24382,0.30897,0.72314,0,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,153.879,0.23739,0.31285,0.58193,0.80931,0,0.98537,0.96898,0.99036,0.95558,0.98537,0.96898,0.99036,0.95074,0.20559,0.24029,0.30755,0.72377,0,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,158.126,0.2446,0.29473,0.56262,0.81726,0,0.98118,0.96878,0.99039,0.95313,0.98118,0.96878,0.99039,0.95115,0.20512,0.23738,0.28809,0.72446,0,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,162.516,0.24172,0.30946,0.55335,0.81091,0,0.99046,0.95556,0.99034,0.95909,0.99046,0.95556,0.99034,0.94422,0.20994,0.23049,0.28462,0.72558,0,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,166.732,0.237,0.30265,0.54968,0.81169,0,0.98598,0.97013,0.99059,0.96069,0.98598,0.97013,0.99059,0.94608,0.20408,0.23802,0.27883,0.72693,0,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,171.366,0.22267,0.27142,0.53228,0.81494,0,0.97083,0.97559,0.98926,0.95951,0.97083,0.97559,0.98926,0.94446,0.19289,0.24314,0.27634,0.72358,0,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,175.574,0.23341,0.27742,0.57637,0.80838,0,0.97252,0.97617,0.98655,0.95915,0.97252,0.97617,0.98655,0.93885,0.19276,0.24698,0.28638,0.7212,0,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,179.993,0.22483,0.29074,0.52791,0.81357,0,0.97083,0.97869,0.98556,0.95727,0.97083,0.97869,0.98556,0.94457,0.19716,0.25361,0.27786,0.72235,0,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,184.203,0.22834,0.29366,0.51535,0.80977,0,0.98546,0.976,0.98756,0.96025,0.98546,0.976,0.98756,0.9477,0.19365,0.26224,0.25992,0.72204,0,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,188.504,0.24526,0.30608,0.55085,0.8067,0,0.98466,0.97787,0.98776,0.96224,0.98466,0.97787,0.98776,0.9489,0.19488,0.25955,0.27227,0.72178,0,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,192.772,0.21732,0.27075,0.51562,0.80896,0,0.98262,0.97633,0.98777,0.9652,0.98262,0.97633,0.98777,0.94657,0.19153,0.24301,0.28981,0.721,0,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,197.173,0.22942,0.30031,0.56096,0.80297,0,0.98623,0.97664,0.98942,0.96695,0.98623,0.97664,0.98942,0.94396,0.18828,0.23454,0.27644,0.72042,0,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,201.394,0.2296,0.29643,0.51785,0.80819,0,0.98473,0.97997,0.99002,0.96377,0.98473,0.97997,0.99002,0.94982,0.1881,0.23264,0.25939,0.71814,0,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,205.739,0.22669,0.29709,0.51128,0.81628,0,0.96359,0.98017,0.98992,0.96648,0.96359,0.98017,0.98992,0.94831,0.18539,0.2323,0.26862,0.71896,0,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,209.916,0.22016,0.26491,0.49118,0.81194,0,0.96143,0.98311,0.99082,0.96157,0.96143,0.98311,0.99082,0.941,0.19604,0.23199,0.27674,0.72089,0,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,214.183,0.22377,0.2909,0.4945,0.80786,0,0.96352,0.98348,0.99063,0.96452,0.96352,0.98348,0.99063,0.94335,0.19182,0.23609,0.27112,0.72161,0,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,218.453,0.22841,0.29762,0.50404,0.81268,0,0.96321,0.98342,0.98941,0.96608,0.96321,0.98342,0.98941,0.94654,0.18547,0.23639,0.25714,0.72221,0,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,222.677,0.20994,0.27058,0.49625,0.80668,0,0.96249,0.98443,0.99088,0.96816,0.96249,0.98443,0.99088,0.95319,0.18941,0.23866,0.25511,0.72018,0,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,226.818,0.21707,0.29622,0.4989,0.81605,0,0.95966,0.9866,0.99093,0.96084,0.95966,0.9866,0.99093,0.95651,0.19307,0.23799,0.26155,0.72034,0,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,231.069,0.20423,0.24993,0.48269,0.8035,0,0.99487,0.9585,0.99116,0.9684,0.99487,0.9585,0.99116,0.94783,0.18256,0.24365,0.24501,0.71703,0,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,235.287,0.22065,0.27616,0.49033,0.81493,0,0.95999,0.98603,0.9902,0.95926,0.95999,0.98603,0.9902,0.94687,0.1841,0.25005,0.24162,0.71821,0,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,239.451,0.21461,0.26914,0.46531,0.80694,0,0.97111,0.98214,0.98961,0.96353,0.97111,0.98214,0.98961,0.93851,0.18224,0.25006,0.23745,0.71713,0,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,243.582,0.21095,0.2708,0.46888,0.81058,0,0.96695,0.98512,0.9908,0.96163,0.96695,0.98512,0.9908,0.93856,0.17781,0.24849,0.23282,0.71656,0,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,247.868,0.21675,0.28805,0.47173,0.80649,0,0.97189,0.98193,0.99049,0.9596,0.97189,0.98193,0.99049,0.94356,0.17017,0.25024,0.24787,0.71446,0,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,252.071,0.22477,0.28438,0.46803,0.81258,0,0.96028,0.98663,0.98921,0.96482,0.96028,0.98663,0.98921,0.9372,0.17231,0.25374,0.23706,0.71463,0,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,256.167,0.20695,0.25208,0.47407,0.80862,0,0.95589,0.98905,0.98849,0.96665,0.95589,0.98905,0.98849,0.9456,0.18142,0.24719,0.23947,0.7173,0,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,260.457,0.22226,0.26508,0.46741,0.8079,0,0.96,0.98259,0.98826,0.96165,0.96,0.98259,0.98826,0.93845,0.18819,0.25313,0.24579,0.71956,0,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,264.861,0.1983,0.25933,0.47301,0.80584,0,0.96014,0.98369,0.98929,0.96199,0.96014,0.98369,0.98929,0.93773,0.17963,0.25518,0.23522,0.71744,0,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,268.892,0.21788,0.27289,0.45653,0.80902,0,0.95965,0.98697,0.98997,0.96509,0.95965,0.98697,0.98997,0.94789,0.17993,0.25505,0.2324,0.71782,0,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,273.122,0.20902,0.26598,0.44453,0.80388,0,0.96096,0.98235,0.98971,0.96768,0.96096,0.98235,0.98971,0.93301,0.17703,0.24373,0.22701,0.7191,0,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,277.321,0.2121,0.24811,0.4456,0.81394,0,0.96193,0.97799,0.98908,0.97055,0.96193,0.97799,0.98908,0.94056,0.17721,0.23655,0.22902,0.71945,0,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,281.718,0.216,0.27458,0.43916,0.80402,0,0.95819,0.98439,0.98914,0.96833,0.95819,0.98439,0.98914,0.93975,0.17932,0.23277,0.22581,0.71852,0,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,286.003,0.21344,0.2705,0.42682,0.81357,0,0.97173,0.97774,0.98977,0.96816,0.97173,0.97774,0.98977,0.93655,0.1742,0.23526,0.22429,0.71705,0,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,290.118,0.21394,0.27138,0.46161,0.81207,0,0.97163,0.97683,0.98941,0.96957,0.97163,0.97683,0.98941,0.94028,0.16985,0.24478,0.23569,0.71561,0,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,294.276,0.20541,0.25987,0.43793,0.80632,0,0.97205,0.97808,0.99003,0.96769,0.97205,0.97808,0.99003,0.9413,0.17848,0.24117,0.23101,0.71655,0,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,298.558,0.2105,0.27272,0.43887,0.80435,0,0.96673,0.98753,0.99036,0.96788,0.96673,0.98753,0.99036,0.93976,0.18025,0.2312,0.22357,0.71587,0,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,302.598,0.19976,0.2531,0.43306,0.81018,0,0.96815,0.98743,0.98998,0.97169,0.96815,0.98743,0.98998,0.941,0.17943,0.23272,0.22221,0.71612,0,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,306.81,0.22123,0.27277,0.44047,0.82033,0,0.97145,0.97812,0.98991,0.97006,0.97145,0.97812,0.98991,0.94522,0.17946,0.23332,0.22717,0.71653,0,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,311.28,0.19615,0.26438,0.41759,0.80453,0,0.95715,0.98779,0.98958,0.96696,0.95715,0.98779,0.98958,0.94338,0.17796,0.22739,0.22333,0.71556,0,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,315.613,0.2074,0.28118,0.43726,0.80543,0,0.97267,0.97467,0.98902,0.96627,0.97267,0.97467,0.98902,0.94031,0.18048,0.22511,0.22621,0.71628,0,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,319.798,0.19713,0.24504,0.42832,0.80594,0,0.95585,0.98264,0.98813,0.96532,0.95585,0.98264,0.98813,0.93975,0.18152,0.22847,0.21634,0.7178,0,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,324.032,0.19865,0.25073,0.42857,0.79996,0,0.95031,0.99091,0.98947,0.96837,0.95031,0.99091,0.98947,0.94514,0.18002,0.23519,0.21263,0.71837,0,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,328.171,0.20094,0.24401,0.41103,0.80976,0,0.95216,0.99038,0.98982,0.96836,0.95216,0.99038,0.98982,0.94321,0.17894,0.23622,0.21687,0.71787,0,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,332.426,0.19051,0.24368,0.39751,0.79523,0,0.97021,0.9801,0.98971,0.97023,0.97021,0.9801,0.98971,0.94495,0.17143,0.23282,0.21165,0.71703,0,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,336.577,0.19689,0.26436,0.40695,0.79883,0,0.96893,0.97976,0.9897,0.96987,0.96893,0.97976,0.9897,0.94556,0.17422,0.22535,0.209,0.71717,0,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,340.735,0.19867,0.26081,0.39638,0.81537,0,0.96947,0.97999,0.99083,0.96871,0.96947,0.97999,0.99083,0.94306,0.17435,0.22584,0.20437,0.71731,0,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,345.022,0.19846,0.23907,0.40738,0.81278,0,0.96944,0.98023,0.99083,0.97092,0.96944,0.98023,0.99083,0.94674,0.17257,0.2264,0.20562,0.71759,0,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,349.336,0.20963,0.29377,0.42299,0.81407,0,0.96962,0.97759,0.99083,0.9684,0.96962,0.97759,0.99083,0.94338,0.17345,0.22458,0.2021,0.7163,0,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,353.471,0.20322,0.25292,0.39983,0.82011,0,0.97453,0.97193,0.99145,0.96954,0.97453,0.97193,0.99145,0.94307,0.16801,0.22234,0.20086,0.71662,0,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,357.587,0.19871,0.27046,0.40979,0.80173,0,0.97296,0.97772,0.99145,0.96884,0.97296,0.97772,0.99145,0.94197,0.16761,0.22114,0.19892,0.71625,0,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
